x,y,psi,v,cte,epsi,delta,a
0.313288,2.7317e-39,8.55572e-06,1.66644,0.74432,-0.00256008,0.000145833,1
0.519088,7.47728e-06,5.37633e-05,2.74544,0.744355,-0.00277938,0.000390759,1
0.17047,2.52555e-05,0.000152023,1.00235,0.744384,-0.000638777,5.34973e-05,1
0.189631,1.03244e-05,5.76745e-05,1.09816,0.744412,9.79038e-05,6.35993e-05,1
0.147773,8.01432e-06,5.61221e-05,0.888863,0.74434,0.00015377,4.21245e-05,1
0.202189,1.31019e-05,6.87128e-05,1.16095,0.744385,-0.000362683,7.10827e-05,1
0.258127,1.11359e-05,4.95387e-05,1.44064,0.744376,-0.000861045,0.00010868,1
0.334165,2.44959e-05,8.65191e-05,1.82082,0.744519,-0.00137893,0.000172556,1
0.423976,4.79059e-05,0.000138839,2.26988,0.744858,-0.00206221,0.00026743,1
0.510029,9.22098e-05,0.000225566,2.70014,0.745293,-0.00270808,0.000378423,1
0.626192,0.000177279,0.000365071,3.28096,0.74616,-0.00361702,0.000560547,1
0.747925,0.00030285,0.000543325,3.88963,0.747586,-0.00466849,0.000793387,1
0.848253,0.000513246,0.000812415,4.39126,0.749396,-0.00554412,0.00101962,1
0.967312,0.000836955,0.00117937,4.98656,0.752329,-0.00667666,0.00133185,1
1.05353,0.00118017,0.001536,5.41768,0.75574,-0.00764573,0.00159226,1
1.17615,0.00173896,0.00206914,6.03078,0.76096,-0.00879626,0.00200985,1
1.29277,0.00291278,0.00307935,6.61388,0.714132,-0.0165722,0.0024048,1
1.39387,0.0031671,0.00328592,7.11938,0.726245,-0.0178455,0.00287263,1
1.50437,0.0041273,0.00405609,7.6719,0.742626,-0.0186568,0.00344974,1
1.5958,0.0052691,0.00491867,8.12906,0.757864,-0.0184972,0.00396711,1
1.70657,0.00682794,0.00604855,8.6829,0.778062,-0.0186081,0.00467494,1
1.79711,0.00832904,0.0070946,9.13567,0.796286,-0.0186415,0.00531839,1
1.90469,0.0104924,0.00853124,9.67359,0.819678,-0.017835,0.00612883,1
2.01089,0.0127085,0.00996214,10.2046,0.844479,-0.0169286,0.00700466,1
2.09838,0.0153877,0.0115893,10.6422,0.865905,-0.0156422,0.00775893,1
2.20193,0.0186042,0.0134889,11.1601,0.892686,-0.0140203,0.00871228,1
2.30419,0.024407,0.0166208,11.6716,0.919742,-0.010837,0.00961087,1
2.38849,0.0254642,0.0173098,12.0932,0.943498,-0.00978272,0.0105008,1
2.48848,0.0294907,0.0194339,12.5933,0.971113,-0.00679544,0.0114594,1
2.57085,0.0334966,0.0214335,13.0054,0.993273,-0.00369268,0.0121993,1
2.66854,0.0382239,0.0236924,13.4941,1.01809,0.000424543,0.0130116,1
2.765,0.0424681,0.0256281,13.9767,1.04009,0.00477649,0.0137268,1
2.84446,0.0468738,0.0274875,14.3743,1.05521,0.00909184,0.0141567,1
