x,y,psi,v,cte,epsi,delta,a
0.0271575,1.14066e-08,4.54053e-07,0.285787,0.74436,-0.00215676,4.83052e-06,1
0.131495,5.57832e-08,1.37384e-06,0.807473,0.744466,-0.00248463,3.56723e-05,1
0.258604,1.27939e-06,1.06089e-05,1.44302,0.744781,-0.00307738,0.000110406,1
0.364242,1.34362e-05,5.23447e-05,1.97121,0.745316,-0.00360965,0.00020413,1
0.489008,5.64606e-05,0.000153287,2.59504,0.746207,-0.00435071,0.0003529,1
0.612407,0.000228507,0.000455896,3.21203,0.747578,-0.00508817,0.000542108,1
0.714106,0.000268855,0.000498717,3.72053,0.749222,-0.0060443,0.000732192,1
0.834792,0.000487915,0.000783974,4.32396,0.751987,-0.00710234,0.000999582,1
0.934243,0.000743877,0.00108121,4.82122,0.755073,-0.0080347,0.00125712,1
1.04006,0.00114086,0.00150178,5.35029,0.759819,-0.00918174,0.00157334,1
1.16376,0.00162239,0.00196791,5.96883,0.766103,-0.0103647,0.00199805,1
1.2756,0.00285312,0.00304328,6.52802,0.716893,-0.0184008,0.00237461,1
1.379,0.00311106,0.00325057,7.04502,0.73006,-0.0191574,0.00284599,1
1.49261,0.00403971,0.00400236,7.61307,0.747732,-0.0199205,0.00344169,1
1.58293,0.00517272,0.00487263,8.06471,0.764103,-0.0206377,0.00398363,1
1.69395,0.00675475,0.00602766,8.6198,0.785733,-0.0205817,0.0047028,1
1.78522,0.00830044,0.00710299,9.07619,0.805207,-0.0199056,0.0053394,1
1.89298,0.0104803,0.00855996,9.61504,0.830005,-0.0191678,0.00617012,1
1.99921,0.012673,0.00998956,10.1463,0.856471,-0.0183637,0.00707248,1
2.08652,0.0153896,0.0116525,10.5829,0.879277,-0.0171784,0.00785237,1
2.19029,0.0186682,0.0135997,11.1019,0.907805,-0.0154693,0.00883244,1
2.27576,0.0216788,0.0153243,11.5293,0.932361,-0.0137027,0.00967146,1
2.37713,0.0256703,0.0175219,12.0364,0.96206,-0.0110651,0.0106787,1
